0,1,2,3,4,5,6,7
259,True,СРО-С-260-29012013,Ассоциация «Первое строительное объединение»,"344002,  г. Ростов-на-Дону, ул. Социалистическая, д. 74, офис 805",Ростовская область,Южный ФО,324
260,False,СРО-С-261-06022013,Ассоциация строителей «Строительно-Индустриальное объединение»,"350020, Краснодарский край, г. Краснодар, ул. Шоссе Нефтяников, д.9, офис 22.",Краснодарский край,Южный ФО,325
261,False,СРО-С-262-11022013,"Ассоциация саморегулируемая организация строителей ""Передовые строительные технологии""","105078, г. Москва, ул. Новая Басманная, дом 12, строение 2",Москва,Москва,326
262,False,СРО-С-263-20032013,Союз «Региональное объединение строителей Санкт-Петербурга»,"199034, г. Санкт-Петербург, ул. 6-я линия В.О., дом 1/25, лит. А, пом. 8Н",Санкт-Петербург,Санкт-Петербург,327
263,False,СРО-С-264-03042013,СОЮЗ «Саморегулируемая организация «Межрегиональная Ассоциация инженеров-строителей»,"115054, г. Москва, Б. Строченовский пер., д. 7, оф. 802",Москва,Москва,328
264,True,СРО-С-265-10042013,Ассоциация строителей саморегулируемая организация «Объединение строительных организаций «ЭкспертСтрой»,"107078, Москва г, Орликов пер, д. 4, эт. 2, пом. I, ком.6",Москва,Москва,329
265,False,СРО-С-266-16042013,Ассоциация строительных компаний «Саморегулируемая организация «Союз строителей»,"625003, Тюменская область, г.Тюмень, ул.Ленина, д.2А",Тюменская область,Уральский ФО,330
266,False,СРО-С-267-16052013,"Некоммерческое партнерство Содействие по повышению качества строительных работ ""Национальный Альянс Строителей""","119121, г. Москва, ул. Смоленская, д. 7, пом.1",Москва,Москва,331
267,False,СРО-С-268-29052013,Ассоциация Саморегулируемая организация «Инновационное объединение строителей»,"390047, Рязанская область, г. Рязань, Куйбышевское ш., д. 25, стр. 4А, 2 этаж",Рязанская область,Центральный ФО,332
268,True,СРО-С-269-03072013,Ассоциация «Саморегулируемая организация «Добровольное Объединение Строителей»,"160000, Вологодская область, г. Вологда, ул. Зосимовская,  д. 9, помещ. 19, лит. А1",Вологодская область,Северо-Западный ФО,333
269,False,СРО-С-270-05082013,Ассоциация саморегулируемая организация строителей особо опасных и технически сложных объектов  «Спецстройнадзор»,"119034, г. Москва, ул. Кропоткинский переулок, д. 4.",Москва,Москва,334
270,False,СРО-С-271-14102013,Саморегулируемая организация Некоммерческое партнерство «Союз строителей нефтегазовой отрасли»,"127254, г. Москва, ул. Добролюбова, д. 16, стр. 1",Москва,Москва,335
271,False,СРО-С-272-08112013,"Ассоциация ""РЕГИОНАЛЬНОЕ СОДРУЖЕСТВО СТРОИТЕЛЕЙ""","455038, Челябинская область, г. Магнитогорск, ул Зеленый лог, д. 54",Челябинская область,Уральский ФО,336
272,False,СРО-С-273-12022014,Ассоциация строителей «СТРОЙНОВАЦИЯ»,"129366, г. Москва, ул. Ярославская, д.13А, стр. 2",Москва,Москва,337
273,False,СРО-С-274-24022014,Саморегулируемая организация Ассоциация строителей «Строительный Альянс Монолит»,"115093, г. Москва, ул. Люсиновская, д. 36, стр. 2, оф. 2.10",Москва,Москва,338
274,False,СРО-С-275-07042014,"Ассоциация строителей саморегулируемая организация ""РегионСтройОбъединение""","115093, Москва, ул. Большая Серпуховская, д. 19/37, стр.4",Москва,Москва,339
275,False,СРО-С-276-21102014,Союз строителей саморегулируемая организация региональное объединение работодателей «СпецСтройСтандарт»,"121151, г. Москва, ул. Большая Дорогомиловская, д. 9 к.2, эт. 2, пом. 20-23",Москва,Москва,340
276,True,СРО-С-277-19022015,Саморегулируемая  организация - Ассоциация «СТРОИТЕЛИ КРЫМА»,"295013, Республика Крым, г. Симферополь, ул. Севастопольская, 41д, оф. 107",Республика Крым,Южный ФО,341
277,True,СРО-С-278-14122016,Саморегулируемая организация Ассоциация «Строители Ульяновска»,"432017, г. Ульяновск, ул. 12 Сентября, д. 123",Ульяновская область,Приволжский ФО,366
278,True,СРО-С-279-31032017,Саморегулируемая организация Региональная ассоциация «Строители ТПП РБ»,"670000, Республика Бурятия , г.  Улан-Удэ, ул. Ленина, д. 25",Республика Бурятия,Дальневосточный ФО,368
279,True,СРО-С-280-20062017,Ассоциация «Строительный комплекс Ленинградской области»,"188300, Ленинградская область, Гатчинский район, г. Гатчина, ул. Изотова, д. 10А, помещение 7",Ленинградская область,Северо-Западный ФО,369
280,True,СРО-С-281-20062017,Саморегулируемая организация Ассоциация «Строители Республики Бурятия»,"670000, Республика Бурятия, г. Улан-Удэ, ул. Балтахинова, д. 17, корпус ""Г"", офис 301",Республика Бурятия,Дальневосточный ФО,370
281,True,СРО-С-282-21062017,Ассоциация строительных организаций в области строительства и реконструкции «Строительный Инженерно-Логистический Альянс»,"109004, г. Москва, ул. Земляной Вал, д.68/18, стр.5",Москва,Москва,371
282,True,СРО-С-283-21062017,Ассоциация профессиональных строителей Сибири,"630005, Новосибирская область, г. Новосибирск, ул. Крылова, д. 36, офис 514",Новосибирская область,Сибирский ФО,372
283,True,СРО-С-284-21062017,Ассоциация строительных организаций Новосибирской области,"630007, Новосибирская область, г. Новосибирск, ул. Октябрьская магистраль, д. 2, офис 608",Новосибирская область,Сибирский ФО,373
284,True,СРО-С-285-15092017,Ассоциация Саморегулируемая организация «Объединение строителей Саратовской области»,"410031, Саратовская Область, г. Саратов, ул. Комсомольская, д. 46/1, этаж 2, оф. 202",Саратовская область,Приволжский ФО,382
285,True,СРО-С-286-15092017,Ассоциация Саморегулируемая организация «МЕЖРЕГИОНАЛЬНЫЙ СОЮЗ СТРОИТЕЛЕЙ ИНГУШЕТИИ»,"386101, Республика Ингушетия , г. Назрань, тер. Центральный округ, ул. Московская, д. 13Б, оф. 3",Республика Ингушетия,Северо-Кавказский ФО,383
286,True,СРО-С-287-15092017,Ассоциация саморегулируемая организация «Профессиональное объединение строителей»,"190103, г. Санкт-Петербург, Рижский проспект, д. 3,  литер Б, этаж 2, помещение 16,17,18,19,23",Санкт-Петербург,Санкт-Петербург,384
287,True,СРО-С-288-15092017,Ассоциация «Строители Омска»,"644043, Омская Область, г. Омск, ул. Красный Путь, д. 101, помещение 72П/5",Омская область,Сибирский ФО,385
288,True,СРО-С-289-26092017,Ассоциация строительных подрядчиков «Созидатели»,"183052, Мурманская Область, г. Мурманск, уч-к. Прибрежная автодорога, д. 17",Мурманская область,Северо-Западный ФО,386
289,True,СРО-С-290-13112017,Ассоциация «Саратовские строители»,"410004, Саратовская Область, г. Саратов, ул. Астраханская, д. 43, стр. 1, ком. 201",Саратовская область,Приволжский ФО,387
290,True,СРО-С-291-18012018,Ассоциация «Объединение строительных организаций «Волга»,"410056, Саратовская область, Саратов, ул. им. Шевченко Т.Г., д. 38/48, пом. 185",Саратовская область,Приволжский ФО,389
291,True,СРО-С-292-09022018,Союз «Черноморский Строительный Союз»,"350088, Краснодарский Край, г. Краснодар, ул. Сормовская, д. 204/6",Краснодарский край,Южный ФО,390
292,True,СРО-С-293-13032018,Ассоциация «Строители Волгоградского региона»,"400066, Волгоградская область, Волгоград, ул. Мира, д. 19, оф. 221",Волгоградская область,Южный ФО,391
293,True,СРО-С-294-18042018,Саморегулируемая организация Ассоциация «Сибирские Строители»,"634049, Томская область, г. Томск, ул. Иркутский тракт, д. 15, стр. 1, оф. 1",Томская область,Сибирский ФО,392
294,True,СРО-С-295-18042018,Ассоциация по содействию строительным организациям в осуществлении ими профессиональной деятельности «Альянс Строителей Столицы»,"121099, Москва, пер. Смоленский 1-й, д. 22/10, этаж 1, пом. I, комн. 1",Москва,Москва,393
295,True,СРО-С-296-18042018,Ассоциация «Саморегулируемая организация «Строительные организации Москвы»,"129626, г. Москва, ул. Староалексеевская, д. 5, пом. № 600",Москва,Москва,394
296,True,СРО-С-297-25042018,Ассоциация строителей Южного округа,"344000, Ростов-на-Дону, ул. Красноармейская, д. 145, оф. 604",Ростовская область,Южный ФО,395
297,True,СРО-С-298-26122018,Ассоциация в области строительства «Саморегулируемая организация «АЛЬЯНС СТРОИТЕЛЕЙ ПОДМОСКОВЬЯ»,"140005, Московская область, г. Люберцы, ул. Комсомольская, д.15а, эт. 2, комната № 2",Московская область,Центральный ФО,402
298,True,СРО-С-299-12042019,Саморегулируемая организация Ассоциация «Строители Нижней Волги»,"400005, Волгоградская Область, г. Волгоград, пр-кт. им В.И.Ленина, д. 86, оф. 323",Волгоградская область,Южный ФО,403
299,True,СРО-С-300-08052019,Ассоциация «Региональное объединение строителей «ЭРА»,"127521, г. Москва, 17-й проезд Марьиной Рощи, д. 4, корп. 1, помещение XVIII (ком. 9)",Москва,Москва,404
300,True,СРО-С-301-29102019,Ассоциация Саморегулируемая организация «Гарантия качества строительства»,"390047, Рязанская область, г. Рязань, ш. Куйбышевское, д. 25, стр. 4а",Рязанская область,Центральный ФО,407
301,True,СРО-С-302-14112019,Ассоциация «Саморегулируемая организация «Объединение строительных организаций Кемеровской области»,"650070,  Кемеровская область, г. Кемерово, пр-кт Молодежный,  д. 17",Кемеровская область,Сибирский ФО,408
302,True,СРО-С-303-22122020,Ассоциация «Петровское объединение строителей»,"190103, г. Санкт-Петербург, вн. тер. г., Муниципальный округ Екатерингофский, Рижский проспект, д. 3, литера Б, помещ. 8",Санкт-Петербург,Санкт-Петербург,410
303,True,СРО-С-304-15012021,Ассоциация Столичные строители,"105062, г. Москва, пер. Подсосенский, д. 23,  стр. 2, пом. 1",Москва,Москва,411
304,True,СРО-С-305-17022021,Ассоциация строителей Мурманской области,"183038, Мурманская область, Мурманск, Ленина пр-т, д. 43",Мурманская область,Северо-Западный ФО,412
305,True,СРО-С-306-03092021,Ассоциация строительных организаций «Центральное строительное объединение»,"123060, РФ, г. Москва, вн.тер.г. Муниципальный округ Щукино, ул. Маршала Рыбалко, д. 2, к. 9, этаж 9, помещ. 926, ком. 4",Москва,Москва,415
306,True,СРО-С-307-08092022,Ассоциация строителей «Региональное объединение строителей Московской области»,"141302, Московская область, г. Сергиев Посад, ул. Валовая, д. 26/24, оф. 12",Московская область,Центральный ФО,420
307,True,СРО-С-308-08092022,Ассоциация «Объединение Ростовских строителей»,"344002, Ростовская область, Г.О. Ростов-на-Дону, г. Ростов-на-Дону, ул. Красноармейская, д. 142/50, этаж 4, ком. 41а",Ростовская область,Южный ФО,421
