0,1,2,3,4,5,6,7
56,False,СРО-С-057-30102009,Ассоциация «Объединение Саратовских строителей (СРО)»,"410004, г. Саратов, ул. Астраханская, д. 43",Саратовская область,Приволжский ФО,124
57,True,СРО-С-058-03112009,Ассоциация Саморегулируемая организация «Тамбовские строители»,"392000, г. Тамбов, ул. Московская, д. 19",Тамбовская область,Центральный ФО,125
58,True,СРО-С-059-05112009,Ассоциация «Нижегородское объединение строительных организаций»,"603000, Нижегородская обл., г.Нижний Новгород, ул.Большая Покровская, дом 15, пом.7",Нижегородская область,Приволжский ФО,126
59,True,СРО-С-060-05112009,"Союз – «Саморегулируемая организация –  «Объединение организаций, осуществляющих строительство, реконструкцию, капитальный ремонт и снос энергетических объектов, сетей и подстанций «ЭНЕРГОСТРОЙ»","119334, г. Москва, 5-й Донской проезд, дом 21 Б, стр. 10,этаж 5, пом. I, ком.7",Москва,Москва,127
60,True,СРО-С-061-06112009,Союз «Саморегулируемая организация «Краснодарские строители»,"350033, г. Краснодар, ул. им. Суворова, д. 129, пом. 6",Краснодарский край,Южный ФО,128
61,True,СРО-С-062-06112009,Общероссийское межотраслевое объединение работодателей – Союз строителей объектов связи и информационных технологий «СтройСвязьТелеком»,"123103, г. Москва, пр-т Маршала Жукова, д. 78, корп. 2, эт. 1, комн. 180",Москва,Москва,129
62,True,СРО-С-063-09112009,Ассоциация Саморегулируемая организация «Центр развития строительства»,"191025, Санкт-Петербург, ул. Маяковского, д. 3Б, лит. А, помещ. 8-Н (16)",Санкт-Петербург,Санкт-Петербург,130
63,True,СРО-С-064-09112009,"Саморегулируемая организация Ассоциация «Объединение строителей подземной, инженерной и транспортной инфраструктуры»","192102, Санкт-Петербург, ул. Фучика, д.4, лит.К, пом.16Н",Санкт-Петербург,Санкт-Петербург,131
64,True,СРО-С-065-11112009,Ассоциация «Объединение строителей в области мелиорации и водного хозяйства»,"143007, Московская область, г. Одинцово, ул. Молодежная, д. 46, эт. 6, оф. 613",Московская область,Центральный ФО,132
65,True,СРО-С-066-11112009,Ассоциация саморегулируемая организация в строительстве «Строители Липецкой области»,"398043, г. Липецк, ул. Гагарина, д. 108",Липецкая область,Центральный ФО,133
66,True,СРО-С-067-11112009,Ассоциация Региональное отраслевое объединение работодателей «Саморегулируемая организация «Союз строителей Якутии»,"677027, Российская Федерация, Республика Саха (Якутия), г. Якутск, ул. Кирова, дом 18, блок В, офис 1107",Республика Саха (Якутия),Дальневосточный ФО,134
67,True,СРО-С-068-16112009,Ассоциация «Объединение профессиональных строителей «РусСтрой»,"105066, г. Москва, ул. Ольховская, д. 45 к. 1",Москва,Москва,135
68,True,СРО-С-069-16112009,Союз монтажников инженерных систем зданий и сооружений,"129281,  Г.  МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ  БАБУШКИНСКИЙ, УЛ.  ЕНИСЕЙСКАЯ, ДЛВД. 36, СТР. 14, ПОМЕЩ. I, ЭТАЖ 1, КОМ.15",Москва,Москва,136
69,True,СРО-С-070-16112009,Ассоциация «Саморегулируемая организация строителей Новгородской области «Стройбизнесинвест»,"173001, Новгородская область, Великий Новгород, ул.Стратилатовская, 17 (3 этаж)",Новгородская область,Северо-Западный ФО,137
70,False,СРО-С-071-17112009,Ассоциация саморегулируемая организация «Управление строительными предприятиями Петербурга»,"195112, Санкт-Петербург, Малоохтинский пр., д. 8, лит. А, пом. 7-Н",Санкт-Петербург,Санкт-Петербург,138
71,True,СРО-С-072-19112009,Ассоциация «Саморегулируемая организация «Тверское объединение строителей»,"170034, г. Тверь, проспект Победы, д. 7",Тверская область,Центральный ФО,139
72,True,СРО-С-073-20112009,Саморегулируемая организация Союз «Строители Ямало-Ненецкого автономного округа»,"629007, Ямало-Ненецкий автономный округ, г. Салехард, ул. Республики, д. 10",Ямало-Ненецкий автономный округ,Уральский ФО,140
73,True,СРО-С-074-20112009,Ассоциация «Саморегулируемая организация «Союз дорожников и строителей Курской области»,"305003, г. Курск, ул. Бойцов 9-й Дивизии, 179а",Курская область,Центральный ФО,141
74,True,СРО-С-075-20112009,Саморегулируемая организация Ассоциация «Строители оборонного и энергетического комплексов»,"117420, г. Москва, ул. Намёткина, 10А корп. 1",Москва,Москва,142
75,True,СРО-С-076-23112009,Ассоциация «Новосибирские строители»,"630004, г. Новосибирск, ул. Вокзальная магистраль, 10, оф. 1",Новосибирская область,Сибирский ФО,143
76,True,СРО-С-077-23112009,Ассоциация «Саморегулируемая региональная организация строителей Северного Кавказа»,"355004, г. Ставрополь, ул. Мира, д. 274, офис 5",Ставропольский край,Северо-Кавказский ФО,144
77,True,СРО-С-078-24112009,Саморегулируемая организация Забайкальская Ассоциация строительных организаций,"672012, Забайкальский край, г. Чита, ул. Курнатовского, д. 71, корп. 3, пом. 2",Забайкальский край,Дальневосточный ФО,145
78,True,СРО-С-079-25112009,Ассоциация дорожно-строительных компаний Саморегулируемая организация «Капитальный ремонт и благоустройство»,"115162, г. Москва, вн.тер.г. Муниципальный округ Даниловский, Хавская ул., д. 11, помещ. II, ком. 2, 3",Москва,Москва,146
79,True,СРО-С-080-26112009,Ассоциация «Саморегулируемая организация «Строители Тульской области»,"300012, г. Тула, ул. Михеева, д. 17, оф. 601 пк",Тульская область,Центральный ФО,147
80,True,СРО-С-081-27112009,Ассоциация саморегулируемая организация «Объединение строителей Кировской области»,"610017, г. Киров, ул. М. Гвардии, д. 90",Кировская область,Приволжский ФО,148
81,True,СРО-С-082-27112009,Саморегулируемая организация Союз строителей «Западуралстрой»,"614007, г. Пермь, ул. Николая Островского, дом 59, офис 405",Пермский край,Приволжский ФО,149
82,True,СРО-С-083-27112009,Ассоциация «Саморегулируемая организация «Союз Стройиндустрии Свердловской области» (Региональное Отраслевое Объединение Работодателей),"620075, г. Екатеринбург, ул. Мамина-Сибиряка, д. 101, оф. 4.54",Свердловская область,Уральский ФО,150
83,True,СРО-С-084-27112009,Саморегулируемая организация Ассоциация строителей газового и нефтяного комплексов,"117393, г. Москва, ул. Профсоюзная, д. 56, этаж/комн. 19/55",Москва,Москва,151
84,False,СРО-С-085-27112009,"Ассоциация строительных компаний ""Саморегулируемая организация ""Межрегиональный строительный альянс ""Единство""","115114, г. Москва, ул. Летниковская, д. 10, стр. 2, 4 этаж",Москва,Москва,152
85,True,СРО-С-086-27112009,Ассоциация Саморегулируемая организация «Объединение строителей Республики Коми»,"167031, Республика Коми, г. Сыктывкар, Интернациональная, д. 32.",Республика Коми,Северо-Западный ФО,153
86,False,СРО-С-087-27112009,Ассоциация Саморегулируемая организация «Объединение строителей «Волга»,"410056, г. Саратов, ул. Ульяновская, д. 27/35",Саратовская область,Приволжский ФО,154
87,True,СРО-С-088-30112009,Саморегулируемая организация Союз «Строители Республики Дагестан»,"367000, Республика Дагестан, г. Махачкала, ул. Портовское Шоссе, д. 5",Республика Дагестан,Северо-Кавказский ФО,155
88,True,СРО-С-089-27112009,Саморегулируемая организация Ассоциация строительных организаций «ЭнергоСтройАльянс»,"108811, г. Москва, п. Московский, Киевское шоссе, 22-й км, домовл. 4, стр. 2, эт. 9, блок Г, оф. 900 Г",Москва,Москва,156
89,True,СРО-С-090-27112009,Ассоциация саморегулируемая организация «Дальневосточное объединение строителей»,"680038, г. Хабаровск,ул. Тургенева, д. 96, корп.3",Хабаровский край,Дальневосточный ФО,157
90,False,СРО-С-091-30112009,Ассоциация строителей «Центр развития Строительства «ОборонСтрой»,"119071, г. Москва, ул. Орджоникидзе, д. 10 (комн. №№ 14, 15, 17-20, 24; 19).",Москва,Москва,158
91,True,СРО-С-092-30112009,Саморегулируемая организация «Ассоциация строителей Мордовии»,"430005, Республика Мордовия, г. Саранск, ул. Кавказская, д. 1/2, пом. 2",Республика Мордовия,Приволжский ФО,159
92,True,СРО-С-093-30112009,Ассоциация «Саморегулируемая организация «Строители Ленинградской области»,"187320, Ленинградская область, г.Шлиссельбург, улица Красный тракт, д.1",Ленинградская область,Северо-Западный ФО,160
93,True,СРО-С-094-02122009,Ассоциация саморегулируемая организация Ярославской области «ГЛАВВЕРХНЕВОЛЖСКСТРОЙ»,"150023, г. Ярославль, ул. Курчатова, д. 3",Ярославская область,Центральный ФО,161
94,True,СРО-С-095-02122009,Ассоциация «Объединение строительных организаций среднего и малого бизнеса»,"143007, Московская область, Одинцовский район, г. Одинцово, ш. Можайское, дом 83А",Московская область,Центральный ФО,162
95,True,СРО-С-096-02122009,Ассоциация Саморегулируемая организация «Региональный строительный союз Республики Башкортостан»,"450005, Республика Башкортостан, г. Уфа, ул. 50 лет Октября, д. 24",Республика Башкортостан,Приволжский ФО,163
96,True,СРО-С-097-04122009,Ассоциация «Объединение строительных организаций Восточной Сибири»,"677027, Республика Саха, г.Якутск, ул.Орджоникидзе, д. 46, корп. 2, помещение 308",Республика Саха (Якутия),Дальневосточный ФО,164
97,True,СРО-С-098-04122009,Саморегулируемая организация Ассоциация Строителей «Профессиональное сообщество строителей»,"350002, г. Краснодар, ул. Северная, д. 490, офис 1/3",Краснодарский край,Южный ФО,165
98,False,СРО-С-099-04122009,Саморегулируемая организация Некоммерческое партнерство «Объединение энергостроителей»,"129626, Москва, Проспект Мира, д. 104 (5 этаж)",Москва,Москва,166
99,True,СРО-С-100-07122009,Ассоциация Саморегулируемая организация «Строитель»,"426063, Удмуртская Республика , г. Ижевск, ул. Воровского, д.106",Удмуртская Республика,Приволжский ФО,167
100,False,СРО-С-101-07122009,"Ассоциация компаний, осуществляющих строительство «Саморегулируемая организация «Региональное строительное объединение»","191002, г. Санкт-Петербург, ул. Ломоносова, д. 12/66, лит. А, пом. 9Н",Санкт-Петербург,Санкт-Петербург,168
101,True,СРО-С-102-07122009,Союз «Альянс строителей Московской области»,"143402, Московская обл.,  г. Красногорск, Ильинское шоссе, д. 1А",Московская область,Центральный ФО,169
102,True,СРО-С-103-07122009,Ассоциация саморегулируемая организация «Гильдия строителей Урала»,"620014, г. Екатеринбург, ул. Бориса Ельцина, 1а, оф. 10.5",Свердловская область,Уральский ФО,170
103,True,СРО-С-104-08122009,Ассоциация строителей Саморегулируемая организация «Московский строительный союз»,"123100, г. Москва, ул. Сергея Макеева, д.1, этаж 2, помещение II, комната 23",Москва,Москва,171
